transaction_id,shipment_id,payment_date,revenue_usd,cost_usd,payment_method,payment_status,profit_usd
TX000001,SHP025710,0:23:27,799.4879875,1614.66753,Credit Card,Completed,-815.18
TX000002,SHP031504,0:51:31,1093.472696,388.9991626,Bank Transfer,Completed,704.47
TX000003,SHP049480,0:20:22,863.2142448,1809.736825,Cash,Completed,-946.52
TX000004,SHP070987,0:14:14,1108.090468,384.4007222,Cash,Completed,723.69
TX000005,SHP052552,0:12:17,2132.083779,1067.276194,Cash,Completed,1064.81
TX000006,SHP026303,0:23:31,1888.657279,1150.972643,Cash,Completed,737.68
TX000007,SHP071980,0:23:06,106.2437054,188.3721235,Bank Transfer,Failed,-82.13
TX000008,SHP068220,0:09:32,108.0927461,63.90577559,Bank Transfer,Completed,44.19
TX000009,SHP075115,0:36:54,2599.132845,457.5599597,Bank Transfer,Completed,2141.57
TX000010,SHP070392,0:12:04,1733.551795,697.321332,Bank Transfer,Completed,1036.23
TX000011,SHP082741,0:38:01,1166.900364,1103.058956,Bank Transfer,Completed,63.84
TX000012,SHP004321,0:17:46,1603.110279,86.69135474,Cash,Completed,1516.42
TX000013,SHP069975,0:53:08,568.6544515,349.7947091,Bank Transfer,Completed,218.86
TX000014,SHP070601,0:38:37,120.6719282,75.54996843,Bank Transfer,Failed,45.12
TX000015,SHP039028,0:02:17,2027.134512,842.8111943,Cash,Completed,1184.32
TX000016,SHP050666,0:27:22,861.0746151,1043.60949,Bank Transfer,Pending,-182.53
TX000017,SHP086761,0:20:17,2917.541962,1546.614721,Bank Transfer,Completed,1370.93
TX000018,SHP061593,0:14:16,2275.431282,1005.325393,Cash,Completed,1270.11
TX000019,SHP054796,0:05:22,1138.948227,1307.164843,Bank Transfer,Completed,-168.22
TX000020,SHP021938,0:38:53,2917.866664,1783.822425,Bank Transfer,Completed,1134.04
TX000021,SHP099288,0:12:33,1524.388617,1267.996086,Bank Transfer,Completed,256.39
TX000022,SHP042845,0:09:08,475.7314935,299.8493485,Bank Transfer,Completed,175.88
TX000023,SHP002330,0:40:14,2435.452847,515.0213496,Bank Transfer,Completed,1920.43
TX000024,SHP000255,0:05:22,2262.385323,1453.987413,Bank Transfer,Pending,808.40
TX000025,SHP047084,0:40:00,644.3930759,1524.171891,Bank Transfer,Completed,-879.78
TX000026,SHP033561,0:10:14,1351.251535,131.6383386,Bank Transfer,Completed,1219.61
TX000027,SHP054400,0:44:08,2459.695614,1157.598053,Bank Transfer,Completed,1302.10
